accel_x,accel_y,accel_z,angle_ankle,angle_knee,angle_shank,angle_thigh,current_ankle,current_knee,current_qaxis_ankle,current_qaxis_knee,ground_reaction_force_vertical,gyro_x,gyro_y,gyro_z,impedance_current_desired_ankle,impedance_current_desired_knee,impedance_damping_ankle,impedance_damping_knee,impedance_equilibrium_angle_ankle,impedance_equilibrium_angle_knee,impedance_stiffness_ankle,impedance_stiffness_knee,impedance_torque_desired_ankle,impedance_torque_desired_knee,loadcell_force_sagittal,loadcell_force_x,loadcell_force_y,loadcell_force_z,loadcell_moment_x,loadcell_moment_y,loadcell_moment_z,velocity_ankle,velocity_knee
0.24965,-0.16889,0.33943,-0.14323,0.054666,-10.715,-10.774,0.20209,-0.1262,0.076735,-0.04792,0.20011,9.5272,26.498,-13.699,0.0116,-0.0021044,0.0027243,0.0046116,0,0,0.05528,0.045034,0.00081006,-0.00015528,-30.913,-11.396,-32.321,131.92,1.5469,-0.73347,-0.17555,-29.37,-2.7006
0.59236,-0.20629,0.77579,-0.94126,0.068734,-21.287,-21.364,0.76224,-0.24941,0.28943,-0.094706,0.39945,16.176,53.425,-47.704,0.041561,-0.0030604,0.0027243,0.0046116,0,0,0.055281,0.045034,0.0029023,-0.00022582,-57.519,-24.417,-56.927,287.78,1.571,-1.4475,-0.42581,-67.811,-4.2133
0.48671,0.0067405,0.80976,-1.9712,0.0065526,-17.997,-18.01,1.3963,-0.16264,0.5302,-0.061759,0.40824,9.5557,48.334,-60.115,0.061015,-0.0024304,0.0027243,0.0046116,0,0,0.055281,0.045034,0.0042608,-0.00017933,-45.616,-27.008,-37.503,280.52,-1.0911,-1.9578,-0.48317,-68.008,-2.6548
0.28025,0.0030704,0.89506,-3.0437,-0.023039,-18.617,-18.601,2.2691,-0.11581,0.8616,-0.043976,0.47097,7.9886,53.898,-61.834,0.074432,-0.0024654,0.0027243,0.0046116,0,0,0.055281,0.045034,0.0051978,-0.00018191,-47.258,-34.081,-32.752,323.55,-2.8856,-2.686,-0.6893,-72.254,-2.3366
0.1655,-0.02929,0.92038,-4.04,-0.056549,-16.825,-16.775,3.0952,-0.072597,1.1753,-0.027566,0.50756,5.8037,52.715,-52.772,0.083725,-0.0021466,0.002724,0.0046117,0,0,0.055282,0.045036,0.0058467,-0.0001584,-41.715,-35.053,-23.94,340.85,-4.4239,-2.4509,-0.99927,-67.239,-1.5255
0.12668,-0.068319,0.97244,-5.0564,-0.074445,-16.32,-16.253,3.9426,-0.063983,1.4971,-0.024295,0.56996,6.3362,54.481,-41.051,0.093563,-0.0020763,0.0026951,0.0046394,0,0,0.055282,0.04552,0.0065337,-0.0001532,-40.629,-35.336,-22.122,379.52,-5.2285,-1.8413,-1.4116,-65.012,-1.273
0.09274,-0.069775,0.97669,-5.9562,-0.09379,-14.947,-14.861,4.617,-0.050699,1.7532,-0.019251,0.61609,6.5381,53.403,-30.277,0.10184,-0.0019536,0.0026192,0.0047016,0,0,0.055283,0.046613,0.0071118,-0.00014415,-37.76,-33.84,-19.561,404.8,-5.701,-1.1459,-1.73,-60.121,-0.9681
0.089114,-0.073676,1.0011,-6.826,-0.10765,-14.137,-14.037,5.2111,-0.046699,1.9787,-0.017733,0.67243,7.3725,53.453,-22.196,0.10929,-0.0019595,0.0025586,0.004749,0,0,0.055288,0.047447,0.0076321,-0.00014459,-37.607,-33.633,-19.552,438.72,-5.8936,-0.72596,-1.9754,-54.054,-0.90625
0.085291,-0.079012,1.0189,-7.5319,-0.1212,-13.079,-12.965,5.6576,-0.04148,2.1483,-0.01575,0.72552,7.7641,52.716,-16.473,0.11329,-0.0018974,0.0025461,0.0047544,0,0,0.055295,0.047544,0.0079116,-0.00014001,-37.897,-34.427,-19.167,469.87,-5.9864,-0.64048,-2.1207,-45.455,-0.79264
0.048279,-0.080722,1.0555,-8.0984,-0.1334,-12.228,-12.102,5.9768,-0.041229,2.2695,-0.015655,0.79187,8.2763,52.458,-13.072,0.11517,-0.0020036,0.0025461,0.0047544,0,0,0.055302,0.047544,0.0080426,-0.00014784,-40.201,-36.998,-19.855,510.27,-5.9198,-0.93027,-2.2129,-36.118,-0.79736
-0.013151,-0.079349,1.0591,-8.5243,-0.14599,-11.32,-11.181,6.1563,-0.043234,2.3377,-0.016417,0.86747,8.6102,51.283,-10.102,0.11504,-0.0021092,0.0025461,0.0047544,0,0,0.05531,0.047544,0.0080333,-0.00015564,-43.833,-41.025,-20.964,556.4,-5.5697,-1.7007,-2.2799,-24.142,-0.7822
-0.0062683,-0.070654,1.0557,-8.7379,-0.1589,-10.464,-10.312,6.1657,-0.047785,2.3412,-0.018145,0.95015,8.6077,49.587,-7.7092,0.11152,-0.0022777,0.0025461,0.0047544,0,0,0.055317,0.047544,0.0077877,-0.00016806,-50.124,-47.153,-23.734,607.36,-4.7336,-3.1188,-2.3246,-10.515,-0.83889
0.0065455,-0.045944,1.0488,-8.7737,-0.17375,-9.6452,-9.4785,6.0075,-0.054186,2.2812,-0.020575,1.0337,8.2453,48.113,-6.0339,0.10575,-0.0024917,0.0025461,0.0047544,0,0,0.055324,0.047544,0.0073845,-0.00018385,-59.446,-55.599,-28.471,659.15,-3.4415,-5.1604,-2.3547,3.2817,-0.90292
0.066928,-0.032294,1.0151,-8.5754,-0.18795,-8.8853,-8.7043,5.6852,-0.062981,2.1588,-0.023915,1.1085,7.4584,47.288,-3.9281,0.097473,-0.0026895,0.0025461,0.0047544,0,0,0.055331,0.047544,0.0068068,-0.00019845,-70.578,-65.356,-34.457,705.54,-1.9269,-7.5557,-2.4076,16.746,-0.95584
0.11797,-0.013074,0.99701,-8.2216,-0.20382,-8.1545,-7.9579,5.2381,-0.073066,1.989,-0.027744,1.1698,6.2317,47.06,-3.1029,0.087884,-0.0028993,0.0025461,0.0047544,0,0,0.055339,0.047544,0.0061371,-0.00021393,-81.806,-75.164,-40.527,743.23,-0.46226,-9.9647,-2.5019,27.451,-1.003
0.11115,-0.0005343,0.98174,-7.7449,-0.22046,-7.4433,-7.23,4.7196,-0.083248,1.7921,-0.031611,1.2114,4.8206,47.013,-2.4795,0.0786,-0.0030858,0.0025461,0.0047544,0,0,0.055352,0.047544,0.0054888,-0.00022769,-90.429,-83.121,-44.765,768.05,0.62272,-11.971,-2.6522,34.602,-1.0197
0.12297,-0.0074688,0.96739,-7.1807,-0.23617,-6.7568,-6.5277,4.1407,-0.091105,1.5723,-0.034594,1.2322,3.2937,47.184,-1.2037,0.069295,-0.0032982,0.0025461,0.0047544,0,0,0.055368,0.047544,0.004839,-0.00024336,-95.526,-88.371,-46.724,779.41,1.3016,-13.419,-2.8538,38.519,-1.0964
0.14134,-0.015664,0.95733,-6.6109,-0.25368,-6.091,-5.8445,3.5829,-0.096065,1.3605,-0.036477,1.2326,1.9021,47.477,-0.40673,0.061062,-0.0035686,0.0025461,0.0047544,0,0,0.055401,0.047544,0.0042641,-0.00026332,-97.481,-90.831,-47.028,777.73,1.705,-14.313,-3.0524,40.089,-1.1563
0.13188,-0.026972,0.95622,-6.0244,-0.27015,-5.4329,-5.17,3.0506,-0.10026,1.1584,-0.03807,1.216,0.72137,47.897,-0.093592,0.053909,-0.0036467,0.0025461,0.0047544,0,0,0.055443,0.047544,0.0037645,-0.00026908,-96.822,-90.692,-46.236,765.31,1.9796,-14.78,-3.2087,39.534,-0.99848
0.10787,-0.036439,0.95544,-5.4435,-0.28323,-4.7722,-4.4964,2.5636,-0.10136,0.97345,-0.038487,1.187,-0.22011,48.13,0.17313,0.047015,-0.0035799,0.0025461,0.0047544,0,0,0.055477,0.047544,0.0032832,-0.00026415,-94.341,-88.551,-44.867,745.21,2.2315,-14.995,-3.3138,39.293,-0.8204
0.092268,-0.049015,0.95496,-4.8581,-0.29499,-4.0964,-3.8087,2.1155,-0.096805,0.8033,-0.036759,1.1517,-0.93863,48.193,0.51676,0.039632,-0.0036406,0.0025461,0.0047544,0,0,0.055515,0.047544,0.0027676,-0.00026863,-90.94,-85.254,-43.355,721.23,2.5174,-15.093,-3.3768,39.814,-0.77166
